,address,categories,cc,city,country,crossStreet,distance,formattedAddress,id,labeledLatLngs,lat,lng,name,postalCode,state
65,"Chalukya Hotel, Racecourse Road",Indian Restaurant,IN,Bangalore,India,,722,"['Chalukya Hotel, Racecourse Road', 'Bangalore', 'Karnātaka', 'India']",4c793a984dc1ef3bd7fa2c9e,"[{'label': 'display', 'lat': 12.984634394639572, 'lng': 77.58778214784162}]",12.984634394639572,77.58778214784162,Samrat Restaurant,,Karnātaka
66,"13th Main, 7th Cross",Indian Restaurant,IN,Bangalore,India,BTM 2nd Stage,8505,"['13th Main, 7th Cross (BTM 2nd Stage)', 'Bangalore', 'Karnātaka', 'India']",4f8da203e4b01d92a6e3d3f5,"[{'label': 'display', 'lat': 12.91398475233245, 'lng': 77.60912093170366}]",12.91398475233245,77.60912093170366,Sandy's Korner Restaurant,,Karnātaka
67,,Indian Restaurant,IN,,India,,1996,['India'],4f86d434e4b0474330649751,"[{'label': 'display', 'lat': 12.986500843041476, 'lng': 77.5745202463872}]",12.986500843041474,77.57452024638721,Sanman Restaurant,,
68,,Indian Restaurant,IN,,India,,2452,['India'],524ee69e498ea67ddcb63165,"[{'label': 'display', 'lat': 12.955501425970256, 'lng': 77.70067475216842}]",12.955501425970256,77.70067475216842,Sanmukha Restaurant,,
69,,Punjabi Restaurant,IN,,India,,5423,['India'],502a062fe4b02131a2293cc8,"[{'label': 'display', 'lat': 12.930384326301747, 'lng': 77.63301252934815}]",12.930384326301748,77.63301252934815,Sharma's Punjabi restaurant,,
70,Central Mall,Chinese Restaurant,IN,Bangalore,India,Outer Ring Road,2256,"['Central Mall (Outer Ring Road)', 'Bangalore 560103', 'Karnātaka', 'India']",4f411dd6e4b015f1bb1cd33b,"[{'label': 'display', 'lat': 12.92578512282278, 'lng': 77.67555943055842}]",12.925785122822779,77.67555943055842,Shitake Oriental Restaurant,560103,Karnātaka
71,6th Cross,Indian Restaurant,IN,Bangalore,India,Gandhinagar,1266,"['6th Cross (Gandhinagar)', 'Bangalore 560009', 'Karnātaka', 'India']",537762c5498ed94f01b08b8e,"[{'label': 'display', 'lat': 12.977948188781738, 'lng': 77.5796890258789}]",12.977948188781738,77.5796890258789,Shivalli Restaurant,560009.0,Karnātaka
72,Garuda Mall,Indian Restaurant,IN,Bangalore,India,Magrath Road,2925,"['Garuda Mall (Magrath Road)', 'Bangalore', 'Karnātaka', 'India']",4e22b97e1495f18f035b3136,"[{'label': 'display', 'lat': 12.965772036072888, 'lng': 77.61452563115546}]",12.965772036072883,77.61452563115546,Sikandar Restaurant and Bar,,Karnātaka
73,Garuda Mall,Indian Restaurant,IN,Bangalore,India,Magrath Road,7510,"['Garuda Mall (Magrath Road)', 'Bangalore', 'Karnātaka', 'India']",4e22b97e1495f18f035b3136,"[{'label': 'display', 'lat': 12.965772036072888, 'lng': 77.61452563115546}]",12.965772036072883,77.61452563115546,Sikandar Restaurant and Bar,,Karnātaka
74,"122/B, Jyothi Nivas Rd, 5th Block",Bar,IN,Bangalore,India,,7100,"['122/B, Jyothi Nivas Rd, 5th Block', 'Bangalore 560034', 'Karnātaka', 'India']",4eb69d174901cef9d9069234,"[{'label': 'display', 'lat': 12.934737037171912, 'lng': 77.61603571885806}]",12.934737037171912,77.61603571885806,Spiritz Bar and Restaurant,560034,Karnātaka
75,,Indian Restaurant,IN,Bangalore,India,,2535,"['Bangalore', 'Karnātaka', 'India']",505ddb78e4b0b4bf4538ad39,"[{'label': 'display', 'lat': 12.955309596542428, 'lng': 77.65947639912228}]",12.955309596542428,77.65947639912228,Sree Durga Family Restaurant,,Karnātaka
76,Bellandur,Southern / Soul Food Restaurant,IN,Bangalore,India,Petrol Bunk,1895,"['Bellandur (Petrol Bunk)', 'Bangalore 560103', 'Karnātaka', 'India']",507fcab3e8899c52822fffee,"[{'label': 'display', 'lat': 12.92877803449454, 'lng': 77.67705202102661}]",12.928778034494536,77.67705202102661,Sri Vasavi Restaurant,560103,Karnātaka
77,,Café,IN,,India,,1222,['India'],4fd0b44de4b0430cb62f075d,"[{'label': 'display', 'lat': 12.97585984217441, 'lng': 77.60205974341285}]",12.97585984217441,77.60205974341285,Sri seshamahal restaurant,,
78,,Fast Food Restaurant,IN,Bangalore,India,,1304,"['Bangalore', 'Karnātaka', 'India']",51710044e4b07af55e7df2e3,"[{'label': 'display', 'lat': 12.98270320892334, 'lng': 77.60274505615234}]",12.98270320892334,77.60274505615234,Sultan Shah's Restaurant,,Karnātaka
